fingerprint,card_count,example_card_id,signal_id,direction,variables,expression,qualitative_excerpt
a4f9d00484dac8ae,1,agriculture__water_scarcity__groundwater_stress__012,sig_01,confirms,"aquifer_class, aquifer_lithology_percent","aquifer_class == 'himalayan_and_sub_himalayan' and aquifer_lithology_percent.get('crystalline', 0) + aquifer_lithology_percent.get('hard_rock', 0) > 40","Aquifer classified as Himalayan and sub-Himalayan with significant crystalline or hard-rock lithology fraction, indicating low storativity and limited recharge capacity despite hig"
d8464bae1585227c,1,agriculture__water_scarcity__groundwater_stress__012,sig_02,confirms,"soge_dev_percent, soge_class_name","soge_dev_percent > 50 or soge_class_name in ['Semi-critical', 'Critical', 'Over-exploited']","SOGE development exceeds 50% or block is classified Semi-critical or above. In hard-rock hilly aquifers, even moderate SOGE values signal localised stress due to spatial heterogene"
6b29710a3f6ad357,1,agriculture__water_scarcity__groundwater_stress__012,sig_03,confirms,"trend_annual_delta_g_mm, delta_g_mm",trend_annual_delta_g_mm < 0 and mean_annual_delta_g_mm < 50,"Declining trend in annual groundwater recharge balance (P - ET - Runoff) with a low mean recharge value, indicating that despite high rainfall, net groundwater replenishment is dim"
0ceb92c383999841,1,agriculture__water_scarcity__groundwater_stress__012,sig_04,amplifies,nrega_swc_count,nrega_swc_count < 10,"Fewer than 10 cumulative SWC works in the micro-watershed under MGNREGA, indicating underinvestment in recharge infrastructure in a terrain where check dams, trench bunds, and gabi"
cd74c9378f627182,1,agriculture__water_scarcity__groundwater_stress__012,sig_05,confirms,annual_well_depth_m,,"Farmers report that springs, dug wells, or shallow borewells that previously yielded water year-round now run dry in the rabi or zaid season, or that they have had to deepen wells "
cb471a5477040956,1,agriculture__water_scarcity__groundwater_stress__013,sig_01,confirms,"soge_dev_percent, soge_class_name","soge_dev_percent > 70 or soge_class_name in ['Semi-critical', 'Critical', 'Over-exploited']","Block-level SOGE exceeds 70% or is classified Semi-critical or worse, indicating extraction pressure relative to recharge even in a high-rainfall zone."
a32976eeeb309dbb,1,agriculture__water_scarcity__groundwater_stress__013,sig_02,confirms,"trend_annual_delta_g_mm, delta_g_mm",trend_annual_delta_g_mm < 0 and mean_annual_delta_g_mm < 0,"Both the linear trend and the multi-year mean of annual groundwater balance (P - ET - Runoff) are negative, indicating that recharge is chronically insufficient despite high rainfa"
45b7fb117fbb4113,1,agriculture__water_scarcity__groundwater_stress__013,sig_03,amplifies,"aquifer_class, aquifer_lithology_percent","aquifer_class == 'sedimentary_soft_rock' and aquifer_lithology_percent.get('alluvium', 0) < 20","Aquifer is classified as sedimentary soft rock with less than 20% alluvial lithology, indicating limited storage capacity and poor lateral recharge connectivity in hilly terrain."
898f754caa82c3b1,1,agriculture__water_scarcity__groundwater_stress__013,sig_04,amplifies,nrega_swc_count,nrega_swc_count < 5,"Fewer than 5 cumulative SWC works recorded under MGNREGA in the micro-watershed, indicating underinvestment in recharge infrastructure despite high runoff potential."
0f220931cbce9042,1,agriculture__water_scarcity__groundwater_stress__013,sig_05,confirms,annual_well_depth_m,,"Farmers report that wells or springs have dried up seasonally or that they have had to deepen wells or shift to deeper sources in recent years, particularly during the dry rabi or "
6ecd509a46e8a4c1,1,agriculture__water_scarcity__groundwater_stress__014,sig_02,confirms,"trend_annual_delta_g_mm, delta_g_mm",trend_annual_delta_g_mm < 0 and mean_annual_delta_g_mm < 0,"The linear trend in annual groundwater recharge (P - ET - Runoff) is negative and the multi-year mean is also negative, indicating chronic depletion where outflows persistently exc"
1a64098abb505d1a,1,agriculture__water_scarcity__groundwater_stress__014,sig_03,amplifies,"aquifer_class, aquifer_lithology_percent","aquifer_class == 'volcanic' and aquifer_lithology_percent.get('alluvium', 0) < 20","Dominant volcanic (basaltic Deccan Trap) aquifer lithology with less than 20% alluvial cover indicates low storativity and limited natural recharge capacity, amplifying vulnerabili"
c7defd383c523090,1,agriculture__water_scarcity__groundwater_stress__014,sig_04,amplifies,nrega_swc_count,nrega_swc_count < 5,"Fewer than 5 cumulative MGNREGA soil and water conservation works in the micro-watershed, indicating low investment in recharge infrastructure such as check dams, percolation ponds"
d4aa9dd690cee831,1,agriculture__water_scarcity__groundwater_stress__014,sig_05,confirms,annual_well_depth_m,,"Farmers report that borewells or dug-wells have had to be deepened in recent years, or that shallow wells that previously yielded water year-round now run dry before the next monso"
282cbfbb5efe1386,1,agriculture__water_scarcity__groundwater_stress__015,sig_01,confirms,"soge_dev_percent, soge_class_name","soge_dev_percent > 70 or soge_class_name in ['Semi-critical', 'Critical', 'Over-exploited']","Block-level SOGE exceeds 70% or CGWB classifies the block as Semi-critical, Critical, or Over-exploited, indicating extraction pressure on alluvial aquifers even in high-rainfall z"
e5e93a3c2b370304,1,agriculture__water_scarcity__groundwater_stress__015,sig_02,confirms,"trend_annual_delta_g_mm, delta_g_mm",trend_annual_delta_g_mm < 0 and mean_annual_delta_g_mm < 0,"Both the linear trend in annual groundwater recharge (P - ET - Runoff) and the multi-year mean are negative, indicating that despite high rainfall, net groundwater balance is chron"
fe42a204469dec63,1,agriculture__water_scarcity__groundwater_stress__015,sig_03,confirms,"aquifer_class, aquifer_lithology_percent","aquifer_class == 'alluvium' and aquifer_lithology_percent.get('alluvium', 0) > 40","Dominant alluvial aquifer with more than 40% of the micro-watershed area underlain by alluvial lithology, confirming the aquifer type context and its recharge-discharge dynamics."
56637d5121b05f88,1,agriculture__water_scarcity__groundwater_stress__015,sig_04,amplifies,nrega_swc_count,nrega_swc_count < 10,"Fewer than 10 cumulative MGNREGA soil and water conservation works in the micro-watershed, indicating underinvestment in recharge infrastructure relative to the extraction pressure"
5b4f346672e3bdc2,1,agriculture__water_scarcity__groundwater_stress__015,sig_05,confirms,annual_well_depth_m,,"Farmers report that they have had to deepen existing dug wells or borewells over recent years, or that shallow dug wells that previously held water through the dry season now run d"
6d5938510d15ac55,1,agriculture__water_scarcity__groundwater_stress__016,sig_01,confirms,"aquifer_class, aquifer_lithology_percent","aquifer_class == 'himalayan_and_sub_himalayan' and aquifer_lithology_percent.get('alluvium', 0) < 20","Aquifer classified as Himalayan/sub-Himalayan with less than 20% alluvial lithology, indicating dominance of fractured crystalline or glaciofluvial hard rock with very low storativ"
02e22c0543a048b1,1,agriculture__water_scarcity__groundwater_stress__016,sig_02,confirms,"delta_g_mm, trend_annual_delta_g_mm",mean_annual_delta_g_mm < 0 and trend_annual_delta_g_mm < 0,"Mean annual groundwater balance (P - ET - Runoff) is negative across the multi-year record and the trend is declining, confirming chronic recharge deficit."
79e11d3e45ed611d,1,agriculture__water_scarcity__groundwater_stress__016,sig_03,confirms,"soge_dev_percent, soge_class_name","soge_dev_percent > 70 or soge_class_name in ['Semi-critical', 'Critical', 'Over-exploited']","Block-level CGWB SOGE classification indicates Semi-critical or worse, or extraction exceeds 70% of net annual recharge."
35be39af958b9705,1,agriculture__water_scarcity__groundwater_stress__016,sig_04,amplifies,nrega_swc_count,nrega_swc_count < 5,"Fewer than 5 cumulative MGNREGA soil and water conservation works recorded in the micro-watershed, indicating very low investment in recharge infrastructure."
c6840b1bcb905ddf,1,agriculture__water_scarcity__groundwater_stress__016,sig_05,confirms,annual_well_depth_m,,"Farmers report that wells or springs that previously provided year-round water now run dry in winter or pre-monsoon months, or that new wells must be dug deeper than historical nor"
e9ecf5deebf0249e,1,agriculture__water_scarcity__groundwater_stress__017,sig_02,amplifies,"aquifer_class, aquifer_lithology_percent",aquifer_class == 'volcanic' or aquifer_class == 'crystalline_basement',"Aquifer classified as volcanic or crystalline basement, indicating low storativity and limited lateral recharge typical of island geology in Andaman & Nicobar and Lakshadweep."
cbec851b5f6c02bf,1,agriculture__water_scarcity__groundwater_stress__017,sig_03,confirms,"trend_annual_delta_g_mm, delta_g_mm",trend_annual_delta_g_mm < 0 and mean_annual_delta_g_mm < 20,"Linear trend in annual groundwater recharge (P - ET - Runoff) is negative and mean annual recharge surplus is below 20 mm, indicating that despite high rainfall, effective recharge"
6535763a0558c418,1,agriculture__water_scarcity__groundwater_stress__017,sig_04,amplifies,nrega_swc_count,nrega_swc_count < 3,"Fewer than 3 cumulative MGNREGA soil and water conservation works recorded in the micro-watershed, indicating very low investment in recharge infrastructure on the island."
53bcbe65a2e4bae1,1,agriculture__water_scarcity__groundwater_stress__017,sig_07,confirms,annual_well_depth_m,,"Farmers report borewell or dug-well deepening over recent years, or seasonal failure of shallow wells during rabi or zaid, indicating declining static water levels."
d704efebf8506c75,1,agriculture__water_scarcity__irrigation_challenges__001,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Total surface water body area is declining at more than 5 ha/year and fewer than 3 distinct SWBs exist in the MWS, indicating both shrinking storage and an infrastructure gap."
757dbbba3c9bb9ab,1,agriculture__water_scarcity__irrigation_challenges__001,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.3,"The mean ratio of rabi-season SWB area to kharif-season SWB area is below 0.3, indicating that surface water storage dries out rapidly after the monsoon and cannot support rabi or "
2d3313f9010745da,2,agriculture__water_scarcity__irrigation_challenges__001,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 5,"Fewer than 5 cumulative soil and water conservation or irrigation works recorded under MGNREGA in the MWS, indicating historically low investment in water harvesting infrastructure"
1bfd24a132ce52a3,1,agriculture__water_scarcity__irrigation_challenges__001,sig_04,amplifies,river_name,river_name is None,"No named river passes through or adjacent to the MWS, eliminating the possibility of diversion or lift irrigation from a perennial or seasonal stream."
0aacadd585b6a8f7,1,agriculture__water_scarcity__irrigation_challenges__001,sig_05,amplifies,"dist_cooperative_km, well_depth_m",dist_cooperative_km > 15,"Nearest agricultural cooperative society is more than 15 km away, indicating poor access to institutional credit for irrigation investment such as pump purchase, pipeline, or micro"
23a63858c3474633,3,agriculture__water_scarcity__irrigation_challenges__001,sig_06,confirms,annual_well_depth_m,,"Farmers report well or borewell deepening over 5–10 years, or seasonal failure of shallow wells, indicating co-occurring groundwater depletion alongside surface irrigation failure."
3c4e022ac28babc8,1,agriculture__water_scarcity__irrigation_challenges__002,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Surface water body total area is declining at more than 5 ha/year and fewer than 3 distinct water bodies exist in the MWS, indicating shrinking storage infrastructure."
be21963bf9b7816d,1,agriculture__water_scarcity__irrigation_challenges__002,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.35,"The mean ratio of SWB rabi area to kharif area is below 0.35, indicating that water bodies dry out rapidly after the monsoon and cannot sustain rabi irrigation."
89e27ec5312ac6cd,2,agriculture__water_scarcity__irrigation_challenges__002,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 5,"Fewer than 5 cumulative soil and water conservation or irrigation works recorded under MGNREGA for the MWS, indicating historically low investment in water harvesting infrastructur"
602e574eb56e4a65,1,agriculture__water_scarcity__irrigation_challenges__002,sig_04,amplifies,"river_name, dist_cooperative_km",river_name is None and dist_cooperative_km > 15,"No named river passes through or adjacent to the MWS, and the nearest agricultural cooperative is more than 15 km away, indicating both absence of surface diversion potential and l"
077cd43a0189712d,1,agriculture__water_scarcity__irrigation_challenges__002,sig_05,amplifies,annual_well_depth_m,,"Farmers report that wells or borewells have become deeper over recent years, or that pumping costs have increased substantially, suggesting declining water tables that raise the co"
7dc8187f2e3a21ba,1,agriculture__water_scarcity__irrigation_challenges__003,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Surface water body area is declining at more than 5 ha/year and fewer than 3 distinct water bodies exist in the MWS, indicating shrinking storage infrastructure."
ac2e83ec84fbdc57,1,agriculture__water_scarcity__irrigation_challenges__003,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.4,"The mean ratio of rabi-season SWB area to kharif-season SWB area is below 0.4, indicating that water bodies dry out rapidly after the monsoon and cannot sustain rabi or zaid irriga"
ae2fe7c98daa22ee,1,agriculture__water_scarcity__irrigation_challenges__003,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 5,"Fewer than 5 cumulative soil and water conservation or irrigation works recorded under MGNREGA for the MWS, indicating historically low public investment in water harvesting infras"
bd730e48e847533a,1,agriculture__water_scarcity__irrigation_challenges__003,sig_04,amplifies,dist_cooperative_km,dist_cooperative_km > 15,"Nearest agricultural cooperative (PACS or marketing co-op) is more than 15 km away, limiting farmers' access to institutional credit for irrigation investment such as pump sets, pi"
38ee0fbdb6654f07,1,agriculture__water_scarcity__irrigation_challenges__003,sig_05,confirms,annual_well_depth_m,,"Farmers report that well or tubewell depth has increased noticeably over recent years, or that pumping costs have risen due to lower water tables, particularly during rabi and zaid"
07f11d33f1cc3f1b,1,agriculture__water_scarcity__irrigation_challenges__004,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Surface water body total area is declining at more than 5 ha/year and fewer than 3 distinct water bodies exist in the MWS, indicating both contraction of existing storage and an ab"
d27beca330a6b3ec,1,agriculture__water_scarcity__irrigation_challenges__004,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.25,"The mean ratio of SWB rabi area to kharif area is below 0.25, indicating that surface water bodies dry out rapidly after the monsoon and cannot sustain irrigation into the rabi sea"
6f5facacbcb31b18,1,agriculture__water_scarcity__irrigation_challenges__004,sig_04,amplifies,"dist_cooperative_km, river_name",dist_cooperative_km > 15 and river_name is None,"The nearest agricultural cooperative is more than 15 km away and no named river passes through or adjacent to the MWS, indicating both limited access to institutional credit for ir"
3847bf177fe09726,1,agriculture__water_scarcity__irrigation_challenges__004,sig_05,amplifies,annual_well_depth_m,,"Farmers report that well or borewell depth has increased noticeably over recent years, or that pumping costs have risen substantially, suggesting declining groundwater levels that "
ea4b7203bb81ddbc,1,agriculture__water_scarcity__irrigation_challenges__005,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Surface water body area is declining at more than 5 ha/year and fewer than 3 distinct water bodies exist in the MWS, indicating shrinking storage infrastructure relative to irrigab"
81f8304e10e71dd0,1,agriculture__water_scarcity__irrigation_challenges__005,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.4,"The mean ratio of SWB area in rabi to kharif is below 0.4, indicating that surface water bodies dry out rapidly after the monsoon and cannot sustain rabi-season irrigation."
2998c449cdfd9567,1,agriculture__water_scarcity__irrigation_challenges__005,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 10,"Fewer than 10 cumulative soil and water conservation or irrigation works completed under MGNREGA in the MWS, indicating historically low investment in water harvesting infrastructu"
3fe20c78843e808a,1,agriculture__water_scarcity__irrigation_challenges__005,sig_04,amplifies,river_name,river_name is None,"No named perennial or seasonal river passes through or adjacent to the MWS, eliminating the possibility of diversion or lift irrigation from a surface water source and making the M"
0e95190e9e057b22,1,agriculture__water_scarcity__irrigation_challenges__005,sig_05,amplifies,dist_cooperative_km,dist_cooperative_km > 15,"The nearest agricultural cooperative society (PACS or marketing co-op) is more than 15 km away, indicating poor access to institutional credit for irrigation investment such as pum"
d3fa0369cac90796,1,agriculture__water_scarcity__irrigation_challenges__006,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Total surface water body area is declining at more than 5 ha/year and fewer than 3 distinct water bodies exist in the MWS, indicating shrinking storage infrastructure."
2b8eea6cc3cad30f,1,agriculture__water_scarcity__irrigation_challenges__006,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.35,"The mean ratio of SWB rabi area to kharif area is below 0.35, indicating that water bodies dry out rapidly after the monsoon and cannot sustain rabi or zaid season irrigation."
d8cbe6d1866648bf,1,agriculture__water_scarcity__irrigation_challenges__006,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 5,"Fewer than 5 cumulative soil and water conservation or irrigation works recorded under MGNREGA, indicating historically low investment in water harvesting maintenance."
3c76073b0ada39d7,1,agriculture__water_scarcity__irrigation_challenges__006,sig_04,amplifies,"dist_cooperative_km, river_name",dist_cooperative_km > 10 and river_name is None,"The nearest agricultural cooperative is more than 10 km away and no named river passes through or adjacent to the MWS, indicating limited access to institutional credit for irrigat"
756b3ef9db0fa8e1,1,agriculture__water_scarcity__irrigation_challenges__006,sig_05,amplifies,annual_well_depth_m,,"Farmers report that open wells or shallow borewells have become unreliable or dry during rabi and zaid seasons, or that pumping costs have increased due to falling water tables — s"
fe6680292da2713b,1,agriculture__water_scarcity__irrigation_challenges__007,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Total surface water body area is declining at more than 5 ha/year and fewer than 3 distinct SWBs exist in the MWS, indicating shrinking storage infrastructure."
f775582cffb4fc73,1,agriculture__water_scarcity__irrigation_challenges__007,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.4 and trend_swb_rabi_kharif_ratio < 0,"The ratio of rabi-season SWB area to kharif-season SWB area is below 0.4 and declining, indicating that water bodies dry out rapidly after the monsoon and cannot sustain rabi irrig"
604c6a0ab4af5597,2,agriculture__water_scarcity__irrigation_challenges__007,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 5,"Fewer than 5 cumulative soil and water conservation or irrigation works recorded under MGNREGA in the MWS, indicating low historical investment in water harvesting infrastructure."
01f1170b2c33121e,1,agriculture__water_scarcity__irrigation_challenges__007,sig_04,amplifies,"river_name, dist_cooperative_km",river_name is None and dist_cooperative_km > 15,"No named river passes through or adjacent to the MWS, and the nearest agricultural cooperative is more than 15 km away, indicating limited access to both surface diversion potentia"
f576e193593681e8,1,agriculture__water_scarcity__irrigation_challenges__007,sig_05,confirms,annual_well_depth_m,,"Farmers report that open wells or borewells have become unreliable or dry by the rabi season, or that pumping costs have increased due to greater lift depth, making groundwater-bas"
43d7a137a9de133a,1,agriculture__water_scarcity__irrigation_challenges__008,sig_01,confirms,"swb_total_area_ha, trend_swb_total_area_ha",trend_swb_total_area_ha < -5 or (swb_total_area_ha[-1] < mean_swb_total_area_ha * 0.85),"Surface water body area is declining at more than 5 ha/year, or the latest year area is below 85% of the multi-year mean, indicating siltation, structural failure, or reduced catch"
954d2b353992458d,1,agriculture__water_scarcity__irrigation_challenges__008,sig_02,confirms,"swb_kharif_area_ha, mean_swb_rabi_kharif_ratio",mean_swb_rabi_kharif_ratio < 0.35,"The rabi-to-kharif SWB area ratio is below 0.35, meaning water bodies lose more than 65% of their kharif-season area by rabi, indicating rapid post-monsoon drying and insufficient "
a6d1f7abbbf04a3d,1,agriculture__water_scarcity__irrigation_challenges__008,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 10,"Fewer than 10 cumulative soil and water conservation or irrigation works recorded under MGNREGA for the micro-watershed, indicating historically low investment in water harvesting "
7f838b4d31499e24,1,agriculture__water_scarcity__irrigation_challenges__008,sig_04,confirms,"swb_count, dist_cooperative_km",(swb_count < 3) and (dist_cooperative_km > 15),"Fewer than 3 surface water bodies in the MWS combined with cooperative distance exceeding 15 km, indicating both a structural infrastructure gap and limited access to institutional"
f35021bea0cde3a7,1,agriculture__water_scarcity__irrigation_challenges__008,sig_05,confirms,annual_well_depth_m,,"Farmers report that open wells or borewells have become shallower in yield or require deeper drilling each season, particularly during rabi. In hard-rock crystalline basement aquif"
35dea30b8e7c3704,1,agriculture__water_scarcity__irrigation_challenges__009,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Total surface water body area is declining at more than 5 ha/year and fewer than 3 distinct SWBs are present in the MWS, indicating contraction of storage infrastructure."
ad64d49f40883074,1,agriculture__water_scarcity__irrigation_challenges__009,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.4,"The mean ratio of SWB area in rabi to kharif is below 0.4, indicating that water bodies dry out rapidly after the monsoon and cannot sustain post-kharif irrigation demand."
6bd250c6495362f7,1,agriculture__water_scarcity__irrigation_challenges__009,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 10,"Fewer than 10 cumulative soil and water conservation or irrigation works recorded under MGNREGA for the MWS, indicating historically low investment in water harvesting infrastructu"
203c58215f4874d0,1,agriculture__water_scarcity__irrigation_challenges__009,sig_04,amplifies,"river_name, dist_cooperative_km",river_name is None and dist_cooperative_km > 10,"No named river passes through or adjacent to the MWS, and the nearest agricultural cooperative is more than 10 km away, limiting both surface diversion potential and access to inst"
bf871c29d16ad35f,1,agriculture__water_scarcity__irrigation_challenges__009,sig_05,amplifies,annual_well_depth_m,,"Farmers report that well or tubewell depth has increased noticeably over recent years, or that pumping costs have risen due to deeper water tables, indicating that groundwater lift"
28edb02a56be35f5,1,agriculture__water_scarcity__irrigation_challenges__010,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Total surface water body area is declining at more than 5 ha/year and fewer than 3 distinct SWBs are present, indicating shrinking storage infrastructure relative to MWS demand."
5da08c5f0a709151,1,agriculture__water_scarcity__irrigation_challenges__010,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.4,"The mean ratio of rabi-season SWB area to kharif-season SWB area is below 0.4, indicating that water bodies lose more than 60% of their kharif storage by rabi, pointing to rapid dr"
ed2125e9e2639413,1,agriculture__water_scarcity__irrigation_challenges__010,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 5,"Fewer than 5 cumulative soil and water conservation or irrigation works recorded under MGNREGA, indicating historically low investment in water harvesting and storage maintenance."
cb33cb1f237a1717,1,agriculture__water_scarcity__irrigation_challenges__010,sig_04,amplifies,"river_name, dist_cooperative_km",river_name is None and dist_cooperative_km > 10,"No named river passes through or adjacent to the MWS, and the nearest agricultural cooperative is more than 10 km away, indicating both absence of surface diversion potential and l"
d74e9d8411092881,1,agriculture__water_scarcity__irrigation_challenges__010,sig_05,confirms,annual_well_depth_m,,"Farmers report that shallow dug wells or hand pumps used for supplemental irrigation have dried earlier in the season compared to previous years, or that pump operating costs have "
d50ba33b4fc88b8e,2,agriculture__water_scarcity__irrigation_challenges__011,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -2 and swb_count < 5,"Surface water body area is declining at more than 2 ha/year and fewer than 5 distinct water bodies exist in the MWS, indicating shrinking storage infrastructure relative to irrigab"
019608da1854bb40,1,agriculture__water_scarcity__irrigation_challenges__011,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.4,"The mean ratio of SWB area in rabi to kharif is below 0.4, indicating that water bodies dry out rapidly after the monsoon and cannot sustain post-kharif irrigation."
0709296115329f80,1,agriculture__water_scarcity__irrigation_challenges__011,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 10,"Fewer than 10 cumulative soil and water conservation or irrigation works recorded under MGNREGA, indicating historically low investment in water harvesting infrastructure relative "
2e3867b2f96ff774,1,agriculture__water_scarcity__irrigation_challenges__011,sig_04,amplifies,river_name,river_name is None,"No named river passes through or adjacent to the MWS, indicating absence of a perennial surface water source that could support diversion or lift irrigation schemes."
be3eb01568c3f9f0,1,agriculture__water_scarcity__irrigation_challenges__011,sig_05,amplifies,dist_cooperative_km,dist_cooperative_km > 15,"Nearest agricultural cooperative is more than 15 km away, indicating poor access to institutional credit that would enable farmers to invest in micro-irrigation or pump infrastruct"
c6fee853c78fd471,1,agriculture__water_scarcity__irrigation_challenges__012,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -2 or (swb_count < 3 and mean_swb_total_area_ha < 5),Declining SWB total area (slope < -2 ha/year) or very few small water bodies relative to watershed size indicates inadequate surface storage infrastructure in hilly terrain.
96d8fbc67cb6b6ea,1,agriculture__water_scarcity__irrigation_challenges__012,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.4,"Mean rabi-to-kharif SWB area ratio below 0.4 indicates rapid post-monsoon drying of water bodies, confirming poor storage persistence into the rabi season."
7e4b3ef6bf1c5166,1,agriculture__water_scarcity__irrigation_challenges__012,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 5,Fewer than 5 cumulative soil and water conservation or irrigation works recorded under MGNREGA indicates historically low investment in water harvesting infrastructure.
240a891b0cd51674,1,agriculture__water_scarcity__irrigation_challenges__012,sig_04,amplifies,"river_name, dist_cooperative_km",river_name is None and dist_cooperative_km > 15,"No named river passing through or adjacent to the MWS, combined with distant cooperative access (>15 km), indicates both limited surface diversion potential and poor institutional "
d968f4807ecea143,1,agriculture__water_scarcity__irrigation_challenges__012,sig_05,confirms,annual_well_depth_m,,"If farmers report that wells or springs have dried up seasonally or that lifting water requires increasingly deep or distant sources, this confirms that groundwater-fed irrigation "
643dd2fe99e82aeb,1,agriculture__water_scarcity__irrigation_challenges__013,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.4,"The mean ratio of rabi-season SWB area to kharif-season SWB area is below 0.4, indicating that water bodies dry out rapidly after the monsoon and cannot sustain rabi irrigation."
62d067df2d3e3bb0,1,agriculture__water_scarcity__irrigation_challenges__013,sig_03,amplifies,nrega_swc_count,nrega_swc_count < 10,"Fewer than 10 cumulative soil and water conservation or irrigation works recorded under MGNREGA in the MWS, indicating historically low investment in water harvesting infrastructur"
55ff64e2d9fdd894,1,agriculture__water_scarcity__irrigation_challenges__013,sig_04,amplifies,"river_name, dist_cooperative_km",river_name is not None and dist_cooperative_km > 20,"A named river is present (indicating potential for diversion or lift irrigation) but the nearest agricultural cooperative is more than 20 km away, suggesting that institutional cre"
61105059ee8afa00,1,agriculture__water_scarcity__irrigation_challenges__013,sig_05,confirms,annual_well_depth_m,,"Farmers report that wells or springs used for irrigation have reduced flow or dried up during rabi or zaid seasons, even in years of normal monsoon rainfall, suggesting that storag"
910dd1aaca6f504d,1,agriculture__water_scarcity__irrigation_challenges__014,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Surface water body area is declining at more than 5 ha/year and fewer than 3 distinct SWBs exist in the MWS, indicating both shrinking storage and sparse infrastructure coverage."
6b32fd39c9189201,1,agriculture__water_scarcity__irrigation_challenges__014,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.35,"The mean ratio of rabi-season SWB area to kharif-season SWB area is below 0.35, indicating that water bodies dry out rapidly after the monsoon and cannot sustain rabi irrigation."
c775f381b82b2de3,1,agriculture__water_scarcity__irrigation_challenges__014,sig_04,amplifies,dist_cooperative_km,dist_cooperative_km > 15,"Nearest agricultural cooperative (PACS or marketing co-op) is more than 15 km away, indicating limited access to institutional credit for irrigation investment such as pump sets, d"
badc0e68459d1ec1,1,agriculture__water_scarcity__irrigation_challenges__014,sig_05,confirms,annual_well_depth_m,,"Farmers report that well or borewell water levels have dropped significantly in the dry season (January–May), requiring deeper pumping or abandonment of wells for rabi irrigation. "
f46399d826f4c969,1,agriculture__water_scarcity__irrigation_challenges__014,sig_06,confirms,tank_siltation_status,,"Farmers confirm visible tank/check-dam siltation, reduced depth, or faster post-monsoon drying compared to roughly 10 years ago."
d46785894a120f01,1,agriculture__water_scarcity__irrigation_challenges__015,sig_01,confirms,"swb_total_area_ha, swb_count",trend_swb_total_area_ha < -5 and swb_count < 3,"Total surface water body area is declining at more than 5 ha/year and fewer than 3 distinct SWBs are present in the MWS, indicating shrinking or absent storage infrastructure."
9415b9de2b1c93f5,1,agriculture__water_scarcity__irrigation_challenges__015,sig_02,confirms,swb_kharif_area_ha,mean_swb_rabi_kharif_ratio < 0.4,"The mean ratio of SWB rabi area to kharif area is below 0.4, indicating that water bodies dry out rapidly after the monsoon and cannot sustain post-kharif irrigation."
