card_id,note_excerpt,draft_note
ntfp_forest_biodiversity__ntfp_decline__encroachment__002,Diagnosis of encroachment as the primary driver of NTFP decline should be confirmed by at least two signals: a positive trend in cd_forest_to_farm_ha (sig_01) is the strongest single indicator and should be present. Settlement expansion (si,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_03 (village_st_percent), sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative."
ntfp_forest_biodiversity__ntfp_decline__encroachment__003,Diagnosis of the encroachment pathway for NTFP decline in the sub-humid plains of AER-9 should be anchored on sig_01 (forest-to-farm conversion trend) as the primary confirmatory signal. The composite signal sig_05 provides the highest diag,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_02 (cd_forest_to_farm_ha), sig_05 (cd_forest_to_farm_ha, village_st_percent). Amplifying signals (do not alone confirm): sig_03 (cd_urbanization_ha), sig_04 (village_st_percent). Follow-up variables for field evidence: ntfp_collection_trend_"
ntfp_forest_biodiversity__ntfp_decline__encroachment__004,Diagnosis of encroachment-driven NTFP decline in arid and semi-arid zones should be anchored by sig_01 (forest-to-farm conversion trend) as the primary confirmatory signal. Sig_02 (urbanization expansion) and sig_04 (composite dual pressure,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_02 (cd_urbanization_ha), sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha). Amplifying signals (do not alone confirm): sig_03 (village_st_percent). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualita"
ntfp_forest_biodiversity__ntfp_decline__encroachment__005,"Diagnosis of encroachment as the driver of NTFP decline in AER-10 (Malwa, Bundelkhand) should be anchored on measurable forest-to-farm conversion (sig_01) as the primary confirmatory signal. High ST population share (sig_03) contextualizes ","Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least one of the primary signals is TRUE: sig_01 (cd_forest_to_farm_ha), sig_04 (cd_forest_to_farm_ha, village_st_percent). Amplifying signals (do not alone confirm): sig_02 (cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative."
ntfp_forest_biodiversity__ntfp_decline__encroachment__006,Diagnosis of encroachment as the primary driver of NTFP decline should be confirmed by at least sig_01 (forest-to-farm conversion trend) supported by either sig_02 (settlement expansion) or sig_03 (high ST population with access implication,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_02 (cd_urbanization_ha), sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha). Amplifying signals (do not alone confirm): sig_03 (village_st_percent). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualita"
ntfp_forest_biodiversity__ntfp_decline__encroachment__007,"Diagnosis of encroachment as the primary driver of NTFP decline should be confirmed by at least two of the three primary signals: measurable forest-to-farm conversion (sig_01), settlement expansion into forest margins (sig_02), or the compo","Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_02 (cd_urbanization_ha), sig_03 (village_st_percent). Amplifying signals (do not alone confirm): sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualita"
ntfp_forest_biodiversity__ntfp_decline__encroachment__008,Diagnosis of encroachment-driven NTFP decline should be confirmed by at least two signals: a measurable forest-to-farm conversion trend (sig_01) is the primary indicator; settlement expansion (sig_02) and high ST population with concurrent ,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_03 (village_st_percent), sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha). Amplifying signals (do not alone confirm): sig_02 (cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualita"
ntfp_forest_biodiversity__ntfp_decline__encroachment__009,Diagnosis of the encroachment pathway should be anchored on sig_01 (forest-to-farm conversion trend) as the primary confirmatory signal. Sig_02 (settlement expansion) and sig_03 (ST population share) serve as amplifying and contextualizing ,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least one of the primary signals is TRUE: sig_01 (cd_forest_to_farm_ha), sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha). Amplifying signals (do not alone confirm): sig_03 (village_st_percent)."
ntfp_forest_biodiversity__ntfp_decline__encroachment__010,Diagnosis of encroachment as the primary driver of NTFP decline should be anchored on sig_01 (forest-to-farm conversion trend) as the core confirmatory signal. Sig_02 (urbanization expansion) and sig_03 (high ST population) serve as amplify,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least one of the primary signals is TRUE: sig_01 (cd_forest_to_farm_ha), sig_04 (cd_forest_to_farm_ha, village_st_percent). Additionally require at least one group: sig_01 (cd_forest_to_farm_ha); OR sig_04 (cd_forest_to_farm_ha, village_st_percent). Amplifying signals (do not alone confirm): sig_03 (village_st_perce"
ntfp_forest_biodiversity__ntfp_decline__encroachment__011,"Diagnosis of encroachment-driven NTFP decline should be confirmed by at least two signals: a measurable increase in forest-to-farm conversion (sig_01) is the primary indicator, ideally corroborated by settlement expansion (sig_02) or social","Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_02 (cd_urbanization_ha), sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha)."
ntfp_forest_biodiversity__ntfp_decline__encroachment__012,Diagnosis of encroachment as the driver of NTFP decline in the Eastern Himalayas should be anchored in measurable forest-to-farm conversion (sig_01) as the primary signal. Settlement expansion (sig_02) and high ST population combined with c,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_02 (cd_urbanization_ha), sig_03 (village_st_percent), sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative."
ntfp_forest_biodiversity__ntfp_decline__encroachment__013,"Diagnosis of encroachment-driven NTFP decline in AER-17 perhumid hill forests should be confirmed by at least two signals: measurable forest-to-farm conversion (sig_01) is the primary indicator, ideally corroborated by settlement expansion ","Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_02 (cd_urbanization_ha), sig_03 (village_st_percent). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative."
ntfp_forest_biodiversity__ntfp_decline__encroachment__016,"Diagnosis of encroachment-driven NTFP decline in cold arid Himalayan contexts should be confirmed by at least two of the three primary signals: increasing forest-to-farm conversion (sig_01), expanding settlement footprint (sig_02), or the c","Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_02 (cd_urbanization_ha), sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha). Amplifying signals (do not alone confirm): sig_03 (village_st_percent). Follow-up variables for field evidence: fra_claims_filed_count, forest_boundary_demarcation_s"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__001,"Diagnosis of forest degradation as the driver of NTFP decline should be confirmed by at least two of the three primary remote-sensing signals (sig_01, sig_02, sig_03). A declining forest area trend (sig_01) combined with a high deforestatio","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha), sig_05 (ntfp_species_presence). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: n"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__002,"Diagnosis of the forest degradation pathway for NTFP decline should be confirmed by at least two of the three primary remote sensing signals: net forest area decline (sig_01), deforestation-afforestation deficit (sig_02), or absolute defore","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: ntfp_species_presence, forest_fir"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__003,"Diagnosis of NTFP decline via forest degradation in AER-9 plains should be confirmed by at least two of the three primary remote sensing signals: declining lulc_tree_forest_ha trend, net deforestation exceeding afforestation, or cumulative ","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains), sig_06 (forest_patch_connectivity). Follow-up variables for field evidenc"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__004,"Diagnosis of forest degradation as the driver of NTFP decline in arid and semi-arid alluvial zones (AER-2, AER-4) should be confirmed by at least two of the three remote-sensing signals: declining lulc_tree_forest_ha trend (sig_01), high de","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: ntfp_species_presence."
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__005,"Diagnosis of the forest degradation pathway as the cause of NTFP decline in sub-humid Central Highlands (AER-10) should be confirmed by at least two of the three primary remote-sensing signals: declining lulc_tree_forest_ha trend (sig_01), ","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: ntfp_species_presence."
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__006,"Diagnosis of forest degradation as the driver of NTFP decline in coastal sub-humid plains should be confirmed by at least two of the three remote-sensing signals (sig_01, sig_02, sig_03). A declining forest area trend combined with net defo","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha), sig_03 (cd_total_deforestation_ha, cd_afforestation_ha), sig_04 (ntfp_species_presence). Amplifying signals (do not alone confirm): sig_05 (organization_domains). Follow-up variables for field evidence: n"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__007,"Diagnosis of the forest degradation pathway as the cause of NTFP decline should be confirmed by at least two of the three remote-sensing signals (sig_01, sig_02, sig_03) showing net forest loss or a strongly negative deforestation-to-affore","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha), sig_05 (ntfp_species_presence). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: n"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__008,"Diagnosis of forest degradation as the driver of NTFP decline in the eastern plateau sub-humid zone (AER-11) should be confirmed by at least two of the three primary remote-sensing signals: declining lulc_tree_forest_ha trend, high cd_total","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha), sig_05 (ntfp_species_presence). Amplifying signals (do not alone confirm): sig_04 (organization_domains), sig_06 (community_forest_governance_statu"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__009,"Diagnosis of NTFP decline via forest degradation in AER-13 alluvial plains should be confirmed by at least two of the three primary remote-sensing signals (sig_01, sig_02, sig_03) showing net forest loss and weak recovery. The absence of in","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_05 (ntfp_species_presence). Amplifying signals (do not alone confirm): sig_03 (cd_afforestation_ha), sig_04 (organization_domains). Follow-up variables for field evidence: ntfp_sp"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__010,"Diagnosis of forest degradation as the driver of NTFP decline in the humid plains of West Bengal, Assam and eastern Bihar should be confirmed by at least two of the three primary remote-sensing signals: declining forest area trend (sig_01),","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (lulc_tree_forest_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains), sig_06 (community_forest_governance_status). Follow-up variables for field evid"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__011,"Diagnosis of the forest degradation pathway as the driver of NTFP decline should be confirmed by at least two of the three primary remote sensing signals: net forest cover loss (sig_01), deforestation exceeding afforestation (sig_02), or su","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: ntfp_species_presence."
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__012,"Diagnosis of forest degradation as the driver of NTFP decline in perhumid NE hill states should be confirmed by at least two of the three remote-sensing signals: declining lulc_tree_forest_ha trend, large deforestation-afforestation gap, or","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: ntfp_species_presence."
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__013,"Diagnosis of the forest_degradation pathway for NTFP decline in the perhumid North-Eastern Hills should be confirmed by at least two of the three primary remote-sensing signals: net forest cover loss (sig_01), high deforestation-to-afforest","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: ntfp_species_presence."
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__014,"Diagnosis of the forest_degradation pathway as the cause of NTFP decline should be confirmed by at least two of the three primary remote-sensing signals: net forest cover loss (sig_01), a large deforestation-to-afforestation deficit (sig_02","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: ntfp_species_presence, forest_fir"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__015,"NTFP decline through forest degradation in the humid West Coast ecoregion (AER-19) should be confirmed by at least two primary signals: net forest cover loss (sig_01), a deforestation-afforestation deficit (sig_02), or significant cumulativ","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha), sig_04 (ntfp_species_presence). Amplifying signals (do not alone confirm): sig_05 (organization_domains). Follow-up variables for field evidence: n"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__016,"Diagnosis of the forest_degradation pathway for NTFP decline in the cold arid Himalayan zone (Ladakh, AER-1) should be confirmed by at least two of the three primary structural signals: declining forest area (sig_01), net deforestation exce","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: ntfp_species_presence."
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__017,"Diagnosis of forest degradation as the driver of NTFP decline in Andaman & Nicobar and Lakshadweep island contexts should be confirmed by at least two of the three primary forest cover signals (sig_01, sig_02, sig_03). The island context is","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_tree_forest_ha), sig_02 (cd_total_deforestation_ha, cd_afforestation_ha), sig_03 (cd_total_deforestation_ha), sig_05 (ntfp_species_presence). Amplifying signals (do not alone confirm): sig_04 (organization_domains). Follow-up variables for field evidence: n"
socio_economic__economic_hardship__multi_sector_vulnerability__001,"Economic hardship in semi-arid Deccan Plateau villages is confirmed when at least three of the four quantitative signals co-occur: recurring severe drought (sig_01), social marginalisation of SC/ST households or low literacy (sig_02), finan","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (drought_weeks_severe), sig_02 (village_sc_percent, village_st_percent, village_literacy_rate), sig_03 (dist_bank_km). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_percent, "
socio_economic__economic_hardship__multi_sector_vulnerability__002,"Economic hardship through multi-sector vulnerability in semi-arid hard rock plateau zones is confirmed when at least three of the four available signals are positive: high SC/ST concentration with financial exclusion (sig_01+sig_02), recurr","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_02 (village_literacy_rate, dist_bank_km), sig_03 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_percent, "
socio_economic__economic_hardship__multi_sector_vulnerability__003,"Economic hardship through multi-sector vulnerability in AER-9's sub-humid alluvial plains is confirmed when at least two of the three primary signals co-occur: (1) high SC/ST proportion combined with low literacy (sig_01), (2) poor banking ","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent, village_literacy_rate), sig_02 (dist_bank_km), sig_03 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_percent, "
socio_economic__economic_hardship__multi_sector_vulnerability__004,"Economic hardship in arid and semi-arid alluvial zones of Rajasthan, Kachchh, and Haryana is best confirmed when at least three of the four signals are active: high SC/ST share (sig_01), low literacy (sig_02), remote banking (sig_03), and c","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe, nrega_swc_count). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate). Follow-up variables for field evidence: migrant_household_percent, "
socio_economic__economic_hardship__multi_sector_vulnerability__005,"Economic hardship in AER-10 (Central Highlands) is confirmed when at least two of the three primary signals co-occur: high SC/ST proportion (sig_01), severe recurring drought (sig_04), and financial exclusion via bank distance (sig_03). Low","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate), sig_05 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_"
socio_economic__economic_hardship__multi_sector_vulnerability__006,"Economic hardship in coastal sub-humid and semi-arid plains of Tamil Nadu, Andhra Pradesh, and Odisha is best confirmed when at least three of the five diagnostic signals are present simultaneously: high marginalised population share (sig_0","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate), sig_05 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_"
socio_economic__economic_hardship__multi_sector_vulnerability__007,"Economic hardship in the Chhota Nagpur Plateau and Eastern Ghats context is best confirmed when at least three of the four available signals co-occur: high SC/ST proportion (sig_01), low literacy (sig_02), high bank distance (sig_03), and t","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_st_percent, village_sc_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe, nrega_swc_count). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate). Follow-up variables for field evidence: migrant_household_percent, "
socio_economic__economic_hardship__multi_sector_vulnerability__008,"Economic hardship in the eastern plateau sub-humid zone (AER-11) is best confirmed when at least three of the five signals are present: high SC/ST proportion (sig_01), financial exclusion via low literacy and remote banking (sig_02), recurr","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_st_percent, village_sc_percent), sig_02 (village_literacy_rate, dist_bank_km), sig_03 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_percent, "
socio_economic__economic_hardship__multi_sector_vulnerability__009,"Economic hardship in eastern UP and northern Bihar alluvial plains is typically a cross-cutting outcome rather than a single-sector failure. Diagnosis should seek convergence of at least three signals: high SC/ST concentration (sig_01), low","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe, nrega_swc_count). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate). Follow-up variables for field evidence: migrant_household_percent, "
socio_economic__economic_hardship__multi_sector_vulnerability__010,"Diagnosis of multi-sector vulnerability as the causal pathway for economic hardship requires co-occurrence of at least three signals: a structural exclusion signal (sig_01 or sig_02), a financial access barrier (sig_03), and either a safety","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_05 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate), sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_"
socio_economic__economic_hardship__multi_sector_vulnerability__012,"Economic hardship in NE hill perhumid contexts is best confirmed when at least three of the five signals are active: high ST/SC share (sig_01), low literacy (sig_02), remote banking (sig_03), low MGNREGA coverage (sig_04), and recurring sev","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_st_percent, village_sc_percent), sig_03 (dist_bank_km), sig_05 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate), sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_"
socio_economic__economic_hardship__multi_sector_vulnerability__013,"Economic hardship in the NE Hills perhumid context is confirmed when at least three of the five signals are positive: high ST/SC proportion (sig_01), financial exclusion via bank distance (sig_02), low literacy (sig_03), low MGNREGA coverag","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_st_percent, village_sc_percent), sig_02 (dist_bank_km), sig_05 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_03 (village_literacy_rate), sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_"
socio_economic__economic_hardship__multi_sector_vulnerability__014,"Economic hardship in semi-arid Malwa and Gujarat plains is best diagnosed when at least three of the four signals are active: high SC/ST proportion with limited asset base (sig_01), dual exclusion from literacy and formal banking (sig_02), ","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_02 (village_literacy_rate, dist_bank_km), sig_03 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_percent, "
socio_economic__economic_hardship__multi_sector_vulnerability__016,"Economic hardship in the Ladakh cold arid context arises from the convergence of structural social vulnerability (high SC/ST share, low literacy), financial exclusion (remote banking), and recurring production shocks (severe drought with mi","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_st_percent, village_sc_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe, nrega_swc_count), sig_05 (migrant_household_percent), sig_06 (household_income_inr). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate). "
socio_economic__economic_hardship__multi_sector_vulnerability__017,"Economic hardship in Andaman & Nicobar and Lakshadweep island contexts arises from the convergence of structural social vulnerability (high SC/ST proportion, low literacy), financial exclusion (remote banking), production system fragility (","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (village_st_percent, village_sc_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe, nrega_swc_count). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate). Follow-up variables for field evidence: migrant_household_percent, "
socio_economic__low_income__small_landholding__001,"Confirm this pathway when at least two of sig_01 (low per-capita cropland), sig_02 (low cropping intensity), and sig_03 (poor market access) are triggered simultaneously. sig_04 (weak safety net and absent diversification support) amplifies","Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (mean_cropping_intensity), sig_05 (landholding_size_distribution). Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km, dist_dairy_km), sig_04 (nrega_community_assets_count, organization_domains), si"
socio_economic__low_income__small_landholding__002,Diagnosis of the small_landholding pathway as the cause of low income requires at least two confirming signals: low per-capita cropland (sig_01) and low cropping intensity (sig_02) together establish that the household has neither the land ,"Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (mean_cropping_intensity, lulc_cropland_ha). Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km), sig_04 (dist_dairy_km, organization_domains, nrega_community_assets_count), sig_06 (market_price_cro"
socio_economic__low_income__small_landholding__003,"Diagnosis of low income via the small-landholding pathway in AER-9 (sub-humid alluvial plains) should be confirmed by at least two of the three primary signals: low per-capita cropland ratio (sig_01), low cropping intensity on small holding","Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (cropping_intensity). Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km), sig_04 (dist_dairy_km, organization_domains, nrega_community_assets_count), sig_06 (market_price_crop). Follow-up variables"
socio_economic__low_income__small_landholding__004,"Diagnosis of the small_landholding pathway as the primary driver of low_income in arid and semi-arid alluvial zones should be confirmed by at least two of the three primary signals: low per-capita cropland ratio (sig_01), persistently low c","Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (mean_cropping_intensity, cropping_intensity). Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km, dist_dairy_km), sig_04 (nrega_community_assets_count, organization_domains), sig_06 (market_price_c"
